,total_bitcoins
2009-01-11,4225.0
2009-01-18,33225.0
2009-01-25,62225.0
2009-02-01,105750.0
2009-02-08,149325.0
2009-02-15,192845.3869047619
2009-02-22,236375.0
2009-03-01,279875.0
2009-03-08,323576.1904761905
2009-03-15,353175.0
2009-03-22,396880.50595238095
2009-03-29,440746.4285714286
2009-04-05,470669.34523809527
2009-04-12,516075.0
2009-04-19,559862.7976190476
2009-04-26,588932.1428571428
2009-05-03,633159.8214285714
2009-05-10,677952.380952381
2009-05-17,722527.6785714286
2009-05-24,767427.0833333334
2009-05-31,797908.630952381
2009-06-07,
2009-06-14,827234.8214285715
2009-06-21,856844.0476190476
2009-06-28,886367.2619047619
2009-07-05,917114.5833333334
2009-07-12,946375.0
2009-07-19,976426.4880952381
2009-07-26,
2009-08-02,1007004.7619047619
2009-08-09,1036968.75
2009-08-16,
2009-08-23,1067192.5595238095
2009-08-30,
2009-09-06,1097386.3095238095
2009-09-13,1127266.6666666667
2009-09-20,1157716.369047619
2009-09-27,1187311.607142857
2009-10-04,
2009-10-11,1218547.3214285714
2009-10-18,1249381.8452380951
2009-10-25,1279038.0952380951
2009-11-01,
2009-11-08,1308385.119047619
2009-11-15,1337425.0
2009-11-22,1366425.0
2009-11-29,1395575.0
2009-12-06,1424709.2261904762
2009-12-13,1453925.0
2009-12-20,1497495.238095238
2009-12-27,1555710.5654761905
2010-01-03,1615282.8869047621
2010-01-10,1675955.9523809524
2010-01-17,1734297.7678571427
2010-01-24,1778005.9523809524
2010-01-31,1836232.1428571427
2010-02-07,1909397.619047619
2010-02-14,1968027.2321428573
2010-02-21,2041260.7142857143
2010-02-28,2114685.1190476194
2010-03-07,2173326.1904761903
2010-03-14,2231898.363095238
2010-03-21,2290376.488095238
2010-03-28,2348940.625
2010-04-04,2409108.9285714286
2010-04-11,2468988.095238095
2010-04-18,2542638.095238095
2010-04-25,2616679.761904762
2010-05-02,2675630.505952381
2010-05-09,2734950.8928571427
2010-05-16,2779323.8095238097
2010-05-23,2824009.375
2010-05-30,2898713.095238095
2010-06-06,2958128.5714285714
2010-06-13,3002797.3214285714
2010-06-20,3062513.244047619
2010-06-27,3122255.0595238097
2010-07-04,3182128.2738095243
2010-07-11,3241824.7023809524
2010-07-18,3353101.1904761903
2010-07-25,3474997.9166666665
2010-08-01,3549509.6726190476
2010-08-08,3608297.916666667
2010-08-15,3681571.527777778
2010-08-22,3754627.529761905
2010-08-29,3812951.7857142854
2010-09-05,3871698.8095238097
2010-09-12,3930239.880952381
2010-09-19,4003331.845238095
2010-09-26,4076313.988095238
2010-10-03,4134700.0
2010-10-10,4193293.75
2010-10-17,4251764.43452381
2010-10-24,4325429.563492063
2010-10-31,4399137.946428571
2010-11-07,4472548.214285714
2010-11-14,4545684.821428571
2010-11-21,4619552.876984127
2010-11-28,4693240.327380952
2010-12-05,4752091.666666666
2010-12-12,4825840.178571428
2010-12-19,4899832.589285715
2010-12-26,4959051.93452381
2011-01-02,5017780.208333334
2011-01-09,5061675.0
2011-01-16,5105601.636904761
2011-01-23,5164386.30952381
2011-01-30,5223105.357142857
2011-02-06,5296164.285714286
2011-02-13,5369278.869047619
2011-02-20,5427663.541666666
2011-02-27,5500732.3412698405
2011-03-06,5573550.0
2011-03-13,5631861.160714285
2011-03-20,5690264.136904762
2011-03-27,5734092.55952381
2011-04-03,5792819.642857143
2011-04-10,5866984.523809524
2011-04-17,5925416.81547619
2011-04-24,5969125.0
2011-05-01,6027249.801587301
2011-05-08,6100092.410714285
2011-05-15,6173081.34920635
2011-05-22,6245847.470238095
2011-05-29,6318725.496031746
2011-06-05,6406046.626984127
2011-06-12,6478750.0
2011-06-19,6551392.55952381
2011-06-26,6624075.0
2011-07-03,6696758.333333333
2011-07-10,6754825.0
2011-07-17,6798350.0
2011-07-24,6856500.0
2011-07-31,6914636.458333334
2011-08-07,6973214.136904761
2011-08-14,7017424.702380952
2011-08-21,7062272.470238095
2011-08-28,7122046.428571429
2011-09-04,7166201.19047619
2011-09-11,7210619.494047619
2011-09-18,7270363.69047619
2011-09-25,7314912.202380952
2011-10-02,7359231.994047619
2011-10-09,7403603.571428572
2011-10-16,7448461.755952381
2011-10-23,7492917.55952381
2011-10-30,7536811.30952381
2011-11-06,7580671.428571428
2011-11-13,7625982.886904762
2011-11-20,7685948.511904762
2011-11-27,7730862.202380952
2011-12-04,7776646.130952381
2011-12-11,7824580.357142857
2011-12-18,7869392.857142857
2011-12-25,7929923.06547619
2012-01-01,7977066.071428572
2012-01-08,8023013.541666666
2012-01-15,8084825.892857143
2012-01-22,8147498.80952381
2012-01-29,8193991.666666667
2012-02-05,8239508.482142857
2012-02-12,8299522.916666666
2012-02-19,8359419.196428571
2012-02-26,8404263.988095239
2012-03-04,8450231.101190478
2012-03-11,8510770.833333334
2012-03-18,8557440.17857143
2012-03-25,8603616.81547619
2012-04-01,8666556.69642857
2012-04-08,8713253.86904762
2012-04-15,8759247.470238095
2012-04-22,8804887.797619049
2012-04-29,8852619.49404762
2012-05-06,8914380.50595238
2012-05-13,8975536.904761905
2012-05-20,9021294.642857144
2012-05-27,9065685.863095239
2012-06-03,9110819.94047619
2012-06-10,9157059.82142857
2012-06-17,9218718.452380951
2012-06-24,9281008.92857143
2012-07-01,9326648.80952381
2012-07-08,9372077.232142858
2012-07-15,9433970.386904761
2012-07-22,9481053.86904762
2012-07-29,9527337.202380951
2012-08-05,9591396.875
2012-08-12,9653808.333333332
2012-08-19,9700795.833333334
2012-08-26,9747779.761904761
2012-09-02,9810728.273809524
2012-09-09,9874076.041666668
2012-09-16,9921930.05952381
2012-09-23,9970850.297619049
2012-09-30,10035693.601190476
2012-10-07,10085037.5
2012-10-14,10133770.535714285
2012-10-21,10197680.80357143
2012-10-28,10245688.988095239
2012-11-04,10295401.785714287
2012-11-11,10344871.13095238
2012-11-18,10392768.898809522
2012-11-25,10456847.023809522
2012-12-02,10502193.452380951
2012-12-09,10526297.24702381
2012-12-16,10550122.470238095
2012-12-23,10572692.261904761
2012-12-30,10595864.88095238
2013-01-06,10618830.208333332
2013-01-13,10649116.07142857
2013-01-20,10671731.69642857
2013-01-27,10694563.988095239
2013-02-03,10725163.764880951
2013-02-10,10748187.648809524
2013-02-17,10771004.389880951
2013-02-24,10801091.07142857
2013-03-03,10831088.764880951
2013-03-10,10860902.00892857
2013-03-17,10890602.604166668
2013-03-24,10927898.80952381
2013-03-31,10964948.735119049
2013-04-07,10994587.94642857
2013-04-14,11024040.029761905
2013-04-21,11046123.214285715
2013-04-28,11068234.449404761
2013-05-05,11097606.845238095
2013-05-12,11127014.583333332
2013-05-19,11156441.964285715
2013-05-26,11185809.00297619
2013-06-02,11215193.30357143
2013-06-09,11244945.610119049
2013-06-16,11274626.339285715
2013-06-23,11304049.107142858
2013-06-30,11333250.669642858
2013-07-07,11362573.288690476
2013-07-14,11391966.81547619
2013-07-21,11428837.251984127
2013-07-28,11458503.125
2013-08-04,11488148.908730159
2013-08-11,11525088.839285715
2013-08-18,11554920.833333334
2013-08-25,11584967.113095239
2013-09-01,11621989.88095238
2013-09-08,11658971.577380951
2013-09-15,11688614.211309522
2013-09-22,11718491.964285715
2013-09-29,11748352.083333332
2013-10-06,11786342.212301588
2013-10-13,11824304.6875
2013-10-20,11854952.604166668
2013-10-27,11892984.5734127
2013-11-03,11930729.613095239
2013-11-10,11960744.94047619
2013-11-17,11991087.276785715
2013-11-24,12021620.75892857
2013-12-01,12052399.851190476
2013-12-08,12083244.345238095
2013-12-15,12113976.041666666
2013-12-22,12145172.767857142
2013-12-29,12175694.419642856
2014-01-05,12206336.830357144
2014-01-12,12237221.42857143
2014-01-19,12267935.788690478
2014-01-26,12298846.50297619
2014-02-02,12330521.354166666
2014-02-09,12361577.083333332
2014-02-16,12392964.657738095
2014-02-23,12424999.404761905
2014-03-02,12449278.273809524
2014-03-09,12473453.273809522
2014-03-16,12505821.800595239
2014-03-23,12537694.19642857
2014-03-30,12569493.824404761
2014-04-06,12601324.18154762
2014-04-13,12625409.672619049
2014-04-20,12649510.19345238
2014-04-27,12682358.482142858
2014-05-04,12715119.12202381
2014-05-11,12739130.357142856
2014-05-18,12763245.163690476
2014-05-25,12795530.87797619
2014-06-01,12827147.69345238
2014-06-08,12858114.88095238
2014-06-15,12889655.282738095
2014-06-22,12921433.333333332
2014-06-29,12953008.779761903
2014-07-06,12976405.654761905
2014-07-13,12999876.041666666
2014-07-20,13031376.11607143
2014-07-27,13054827.232142856
2014-08-03,13078561.68154762
2014-08-10,13110430.50595238
2014-08-17,13142041.07142857
2014-08-24,13166080.357142856
2014-08-31,13189626.93452381
2014-09-07,13221313.61607143
2014-09-14,13253068.37797619
2014-09-21,13284776.785714287
2014-09-28,13308612.05357143
2014-10-05,13331820.3125
2014-10-12,13362821.800595239
2014-10-19,13386321.726190476
2014-10-26,13409463.69047619
2014-11-02,13440328.720238095
2014-11-09,13471543.75
2014-11-16,13494507.589285715
2014-11-23,13517509.74702381
2014-11-30,13548311.458333332
2014-12-07,13571521.279761905
2014-12-14,13594959.151785713
2014-12-21,13618568.30357143
2014-12-28,13642093.675595239
2015-01-04,13673286.75595238
2015-01-11,13697027.827380951
2015-01-18,13720293.229166668
2015-01-25,13751331.324404761
2015-02-01,13774975.74404762
2015-02-08,13798775.74404762
2015-02-15,13829923.80952381
2015-02-22,13853024.107142856
2015-03-01,13876269.717261905
2015-03-08,13907466.220238095
2015-03-15,13931003.720238095
2015-03-22,13953842.1875
2015-03-29,13984462.425595239
2015-04-05,14007474.702380951
2015-04-12,14030892.038690478
2015-04-19,14054044.345238095
2015-04-26,14077056.026785715
2015-05-03,14107788.467261905
2015-05-10,14130837.05357143
2015-05-17,14154176.93452381
2015-05-24,14185056.547619049
2015-05-31,14207979.464285715
2015-06-07,14230815.848214285
2015-06-14,14261671.354166668
2015-06-21,14285042.857142856
2015-06-28,14308011.75595238
2015-07-05,14338690.773809522
2015-07-12,14361726.041666666
2015-07-19,14384423.660714285
2015-07-26,14414964.136904761
2015-08-02,14438329.613095239
2015-08-09,14461339.360119049
2015-08-16,14491714.583333332
2015-08-23,14514710.416666666
2015-08-30,14537797.69345238
2015-09-06,14568817.336309522
2015-09-13,14599554.31547619
2015-09-20,14622468.154761905
2015-09-27,14645544.642857142
2015-10-04,14676443.00595238
2015-10-11,14699426.785714285
2015-10-18,14722305.05952381
2015-10-25,14753040.773809524
2015-11-01,14776222.32142857
2015-11-08,14798951.711309524
2015-11-15,14829415.922619049
2015-11-22,14860167.63392857
2015-11-29,14882797.767857144
2015-12-06,14905382.44047619
2015-12-13,14935799.330357142
2015-12-20,14965786.30952381
2015-12-27,14995849.55357143
2016-01-03,15026062.5
2016-01-10,15055990.476190478
2016-01-17,15078343.75
2016-01-24,15100325.81845238
2016-01-31,15129907.663690476
2016-02-07,15159793.75
2016-02-14,15189695.238095239
2016-02-21,15219317.410714287
2016-02-28,15248814.583333332
2016-03-06,15270915.17857143
2016-03-13,15292839.88095238
2016-03-20,15322071.800595239
2016-03-27,15351347.544642858
2016-04-03,15380651.11607143
2016-04-10,15402718.898809524
2016-04-17,15424648.4375
2016-04-24,15453916.44345238
2016-05-01,15483253.273809522
2016-05-08,15512654.761904761
2016-05-15,15534569.49404762
2016-05-22,15556585.788690476
2016-05-29,15585861.38392857
2016-06-05,15607830.80357143
2016-06-12,15629770.386904761
2016-06-19,15658990.401785715
2016-06-26,15688269.86607143
2016-07-03,15717592.93154762
2016-07-10,15739837.5
2016-07-17,15755896.46577381
2016-07-24,15770496.09375
2016-07-31,15781447.767857144
2016-08-07,15792400.0
2016-08-14,15806945.833333332
2016-08-21,15821520.126488095
2016-08-28,15836187.90922619
2016-09-04,15847181.25
2016-09-11,15858135.11904762
2016-09-18,15872792.22470238
2016-09-25,15887350.706845239
2016-10-02,15901935.267857144
2016-10-09,15912854.389880951
2016-10-16,15923798.623511905
2016-10-23,15938381.25
2016-10-30,15952910.379464285
2016-11-06,15963843.75
2016-11-13,15974742.075892858
2016-11-20,15989312.5
2016-11-27,16003894.345238095
2016-12-04,16018464.322916668
2016-12-11,16033063.950892858
2016-12-18,16044018.75
2016-12-25,16054992.745535715
2017-01-01,16069646.279761903
2017-01-08,16084243.638392858
2017-01-15,16098828.199404761
2017-01-22,16113492.745535715
2017-01-29,16128038.24404762
2017-02-05,16139015.401785715
2017-02-12,16149960.90029762
2017-02-19,16164550.74404762
2017-02-26,16179201.339285715
2017-03-05,16193804.538690476
2017-03-12,16204768.75
2017-03-19,16215712.425595239
2017-03-26,16230325.0
2017-04-02,16244927.00892857
2017-04-09,16259648.251488095
2017-04-16,16270643.526785715
2017-04-23,16281618.898809522
2017-04-30,16296301.93452381
2017-05-07,16310888.541666668
2017-05-14,16325500.855654761
2017-05-21,16336513.467261905
2017-05-28,16347437.686011905
2017-06-04,16362056.25
2017-06-11,16376640.438988095
2017-06-18,16391224.18154762
2017-06-25,16405834.78422619
2017-07-02,16416768.973214285
2017-07-09,16427726.302083332
2017-07-16,16442331.25
2017-07-23,16456884.598214285
2017-07-30,16471498.10267857
2017-08-06,16486104.166666668
2017-08-13,16497037.574404761
2017-08-20,16508053.720238095
2017-08-27,16522656.25
2017-09-03,16537209.523809524
2017-09-10,16551815.401785715
2017-09-17,16566424.55357143
2017-09-24,16577368.75
2017-10-01,16588273.88392857
2017-10-08,16602837.723214285
2017-10-15,16617455.691964285
2017-10-22,16632026.674107142
2017-10-29,16646581.25
2017-11-05,16657500.892857144
2017-11-12,16668450.111607142
2017-11-19,16683010.90029762
2017-11-26,16697613.24404762
2017-12-03,16712192.075892858
2017-12-10,16726793.080357142
2017-12-17,16741405.394345239
2017-12-24,16755975.0
2017-12-31,16766906.25
2018-01-07,16777837.351190478
2018-01-14,16792400.967261903
2018-01-21,16806959.114583336
2018-01-28,16821537.5
2018-02-04,16836111.64434524
2018-02-11,16850675.37202381
2018-02-18,16865250.0
2018-02-25,16879824.51636905
2018-03-04,16894396.98660714
2018-03-11,16908963.764880955
2018-03-18,16919918.75
2018-03-25,16930827.67857143
2018-04-01,16945413.430059522
2018-04-08,16959988.132440478
2018-04-15,16974551.339285716
2018-04-22,16985456.25
2018-04-29,16996387.5
2018-05-06,17010947.58184524
2018-05-13,17025559.67261905
2018-05-20,17040153.45982143
2018-05-27,17051086.68154762
2018-06-03,17062000.483630955
2018-06-10,17076560.342261903
2018-06-17,17091131.063988097
2018-06-24,17105703.19940476
2018-07-01,17120325.0
2018-07-08,17131264.36011905
2018-07-15,17142228.45982143
2018-07-22,17156827.75297619
2018-07-29,17171425.0
2018-08-05,17185987.5
2018-08-12,17200536.79315476
2018-08-19,17211452.00892857
2018-08-26,17222382.961309522
2018-09-02,17236960.49107143
2018-09-09,17251473.4375
2018-09-16,17266018.75
2018-09-23,17276963.39285714
2018-09-30,17287900.0
2018-10-07,17302466.29464286
2018-10-14,17317049.51636905
2018-10-21,17327974.92559524
2018-10-28,17338885.90029762
2018-11-04,17353436.27232143
2018-11-11,17364355.35714286
2018-11-18,17375269.12202381
2018-11-25,17386191.74107143
2018-12-02,17397110.04464286
2018-12-09,17408031.25
2018-12-16,17418945.42410714
2018-12-23,17433486.904761903
2018-12-30,17448052.82738095
2019-01-06,17458993.08035714
2019-01-13,17470008.035714284
2019-01-20,17484605.84077381
2019-01-27,17499192.15029762
2019-02-03,17510143.75
2019-02-10,17521055.46875
2019-02-17,17535626.59970238
2019-02-24,17550206.25
2019-03-03,17561118.75
2019-03-10,17572043.526785716
2019-03-17,17586624.776785716
2019-03-24,17601242.85714286
2019-03-31,17615826.67410714
2019-04-07,17626750.07440476
2019-04-14,17637678.98065476
2019-04-21,17652222.58184524
2019-04-28,17663196.726190478
2019-05-05,17674123.139880955
2019-05-12,17688722.61904762
2019-05-19,17703325.0
2019-05-26,17717850.0
2019-06-02,17732441.703869045
2019-06-09,17743357.8125
2019-06-16,17754288.132440478
2019-06-23,17768818.75
2019-06-30,17783363.72767857
2019-07-07,17797892.52232143
2019-07-14,17812468.45238095
2019-07-21,17823381.25
2019-07-28,17834287.5
2019-08-04,17848838.058035716
2019-08-11,17863434.00297619
2019-08-18,17878032.552083336
2019-08-25,17888990.69940476
2019-09-01,17899912.01636905
2019-09-08,17914491.964285716
2019-09-15,17929056.25
